feature_set,count,mean,std,min,25%,50%,75%,max
combined,8.0,0.34214020461680017,0.032738936713937114,0.2659090909090909,0.3380308708368894,0.3531362806996578,0.3613273329914123,0.3656932292542595
original,8.0,0.3245141635971701,0.03846398784639095,0.2448227211385106,0.3178622539521292,0.3260484945684421,0.3417240445938573,0.3722948294608683
original_no_kategorial,8.0,0.3380268888935901,0.034250022305165745,0.2665592805127688,0.32982761868756805,0.34151556933751515,0.3541915765628424,0.3826721832710275
residual,8.0,0.3481630527846939,0.028409920407528703,0.2995670995670995,0.3301416975307176,0.35965410845876067,0.36270724109919156,0.3839969106082491
