feature_set,modell,f1_ALT,f1_NEU,differenz
original,LogisticRegression,0.0,0.4220149250564302,0.4220149250564302
original,kNN,0.0,0.0,0.0
original,SVC,0.0,0.400392589866274,0.400392589866274
original,RandomForest,0.0133333333333333,0.35558589908131444,0.34225256574798113
original,HistGradientBoosting,0.0759335288367546,0.40299906883240216,0.3270655399956476
original,XGBoost,0.0258333333333333,0.02583333333333333,3.122502256758253e-17
original,LightGBM,0.0737480584032308,0.35158396825708793,0.27783590985385714
original,GaussianNB,0.4132077898455593,0.41320778984555934,5.551115123125783e-17
original,MLP,0.0,0.0,0.0
original_no_kategorial,LogisticRegression,0.0129032258064516,0.42147588974787425,0.40857266394142266
original_no_kategorial,kNN,0.0387365591397849,0.038736559139784944,4.163336342344337e-17
original_no_kategorial,SVC,0.0,0.42534304148046986,0.42534304148046986
original_no_kategorial,RandomForest,0.0262365591397849,0.3398413483072478,0.3136047891674629
original_no_kategorial,HistGradientBoosting,0.0767155425219941,0.3903091762952934,0.3135936337732993
original_no_kategorial,XGBoost,0.0524731182795698,0.05247311827956989,9.020562075079397e-17
original_no_kategorial,LightGBM,0.0880455407969639,0.3581496959768482,0.2701041551798843
original_no_kategorial,GaussianNB,0.410825729035374,0.410825729035374,0.0
original_no_kategorial,MLP,0.1900308841485312,0.1900308841485312,0.0
residual,LogisticRegression,0.0,0.42481651372256213,0.42481651372256213
residual,kNN,0.0129032258064516,0.012903225806451613,1.214306433183765e-17
residual,SVC,0.0,0.4059388474737828,0.4059388474737828
residual,RandomForest,0.0,0.30696132663464787,0.30696132663464787
residual,HistGradientBoosting,0.0262365591397849,0.36048047792391796,0.33424391878413307
residual,XGBoost,0.0129032258064516,0.012903225806451613,1.214306433183765e-17
residual,LightGBM,0.0391397849462365,0.3300911136798323,0.2909513287335958
residual,GaussianNB,0.4119717478296998,0.4119717478296998,0.0
residual,MLP,0.0266666666666666,0.026666666666666665,6.591949208711867e-17
combined,LogisticRegression,0.0121212121212121,0.42517498912060725,0.41305377699939516
combined,kNN,0.0379276637341153,0.037927663734115345,4.85722573273506e-17
combined,SVC,0.0,0.39485552375217564,0.39485552375217564
combined,RandomForest,0.0133333333333333,0.3549108476007385,0.3415775142674052
combined,HistGradientBoosting,0.0641963292547274,0.3468165444263732,0.2826202151716458
combined,XGBoost,0.0509090909090909,0.050909090909090904,6.938893903907228e-18
combined,LightGBM,0.0764326375711575,0.34560478644985687,0.2691721488786994
combined,GaussianNB,0.4116352293951724,0.41163522939517244,5.551115123125783e-17
combined,MLP,0.0766769865841073,0.07667698658410733,2.7755575615628914e-17
