,schneckendrehzahl,massetemperatur,duesenspalt,vakuumniveau,innenluftdruck,kuehlwassertemperatur
material_mfr,0.0031560430009842655,0.12415116996823872,0.01189361493390051,0.05633203666858011,0.03495454714480517,0.031285098624545316
dn_ziel,0.5471760816125193,0.3000209980765529,0.8894905365088784,0.2785391101067004,0.4046257010940012,0.006525916058169656
wandstaerke_soll,0.502650828040043,0.28481047845256924,0.9453945826132405,0.28573826407263914,0.4051768451405391,0.006286589314074997
dickentoleranz,4.911896482107103e-06,0.00045938665901190667,0.0006063322721915343,0.0010561754469174955,0.0025832968196899397,0.0004373659707088695
produktionsgeschwindigkeit_soll,0.01994558327405549,0.006294117173458957,0.17528656209157234,0.058598657417038624,0.30561345084333313,0.15726518546102275
ovalitaet_anforderung,3.8284973250868326e-05,0.0011888571237772538,0.00020565964405039328,0.03827205674904843,3.0092076605203744e-05,1.5336356979811505e-05
