feature_set,count,mean,std,min,25%,50%,75%,max
combined,9.0,0.0825813869892129,0.12662139166019942,0.0,0.0133333333333333,0.0509090909090909,0.0764326375711575,0.4116352293951724
original,9.0,0.06689511597246792,0.13347091655537732,0.0,0.0,0.0133333333333333,0.0737480584032308,0.4132077898455593
original_no_kategorial,9.0,0.09955190654093939,0.12963427828445342,0.0,0.0262365591397849,0.0524731182795698,0.0880455407969639,0.410825729035374
residual,9.0,0.058869023355032336,0.133132941639902,0.0,0.0,0.0129032258064516,0.0266666666666666,0.4119717478296998
