modell,count,mean,std,min,25%,50%,75%,max
GaussianNB,4.0,0.38647415479621133,0.06334381032905229,0.2917576915837785,0.3812634717255421,0.4156671076533851,0.4208777907240544,0.4228047122942967
HistGradientBoosting,4.0,0.20953856706603213,0.012294399130230216,0.1975605475605475,0.2029176904176904,0.2070630687703858,0.21368394541872754,0.2264675831628095
LightGBM,4.0,0.18920932426935375,0.018962175367729452,0.1723525904100459,0.1790060674020102,0.1841624311361153,0.19436568800345883,0.2161598443951385
LogisticRegression,4.0,0.022903225806451575,0.006666666666666649,0.0129032258064516,0.022903225806451575,0.0262365591397849,0.0262365591397849,0.0262365591397849
MLP,4.0,0.12984211124017914,0.14062208412088126,0.0,0.01999999999999995,0.1123453376650307,0.22218744890520992,0.2946777696306552
RandomForest,4.0,0.1713790322307999,0.03195524935449798,0.1291029299093815,0.1556123494207734,0.1787370483345715,0.19450373114459796,0.1989391023446751
SVC,4.0,0.013225806451612875,0.015272855238673602,0.0,0.0,0.01311827956989245,0.026344086021505324,0.0266666666666666
XGBoost,4.0,0.18308168745047743,0.021547383229359535,0.1535808918161859,0.1773225223464621,0.18675255100483695,0.1925117161088523,0.20524075597605
kNN,4.0,0.1816740787032639,0.014700170085987592,0.1646374946374946,0.17177898360466504,0.1839003346275112,0.19379542972611005,0.1942581509205386
