zielgroesse,modell,feature_set,status,outer_test_score_mean,outer_test_score_std,outer_train_score_mean,outer_gap_mean,fit_time_sekunden_mean,best_params_je_fold,scoring
binary,GaussianNB,original_no_kategorial,ok,0.41982428770096886,0.06588982858283944,0.4591883869088784,0.039364099207909564,2.006102418899536,"[{'var_smoothing': 1e-11}, {'var_smoothing': 0.1}, {'var_smoothing': 0.1}, {'var_smoothing': 1e-11}, {'var_smoothing': 1e-11}]","make_scorer(f1_score, response_method='predict', pos_label=NIO, zero_division=0)"
binary,LogisticRegression,original,ok,0.4233520822985605,0.047256387799248456,0.4491641023324379,0.025812020033877447,0.1635430335998535,"[{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}, {'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear'}, {'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}, {'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}, {'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear'}]","make_scorer(f1_score, response_method='predict', pos_label=NIO, zero_division=0)"
binary,SVC,original,ok,0.423108144852305,0.03112992737717536,0.466221710010328,0.043113565158023004,0.23562030792236327,"[{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}, {'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}, {'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}, {'C': 10.0, 'gamma': 0.01, 'kernel': 'rbf'}, {'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}]","make_scorer(f1_score, response_method='predict', pos_label=NIO, zero_division=0)"
multilabel,GaussianNB,original_no_kategorial,ok,0.08458421523251275,0.011513339752012807,0.14940466153772367,0.06482044630521092,0.1930140495300293,"[{'estimator__var_smoothing': 0.1}, {'estimator__var_smoothing': 0.1}, {'estimator__var_smoothing': 0.1}, {'estimator__var_smoothing': 0.1}, {'estimator__var_smoothing': 0.1}]",f1_macro
multilabel,LogisticRegression,original,ok,0.08768549528714217,0.04051495633341543,0.151433552849431,0.06374805756228882,1.0970078468322755,"[{'estimator__C': 10.0, 'estimator__penalty': 'l1'}, {'estimator__C': 1.0, 'estimator__penalty': 'l1'}, {'estimator__C': 0.1, 'estimator__penalty': 'l1'}, {'estimator__C': 0.01, 'estimator__penalty': 'l1'}, {'estimator__C': 1.0, 'estimator__penalty': 'l2'}]",f1_macro
multilabel,SVC,original,ok,0.09775038959948859,0.01807816877344244,0.2066090223643763,0.10885863276488772,0.7063747406005859,"[{'estimator__C': 1.0, 'estimator__gamma': 0.1}, {'estimator__C': 0.1, 'estimator__gamma': 0.01}, {'estimator__C': 10.0, 'estimator__gamma': 0.01}, {'estimator__C': 0.1, 'estimator__gamma': 'scale'}, {'estimator__C': 1.0, 'estimator__gamma': 0.01}]",f1_macro
continuous,Ridge,combined,ok,0.016000979553877803,0.035191474717905555,0.07940636802451784,0.06340538847064003,0.052780437469482425,"[{'alpha': 100.0}, {'alpha': 100.0}, {'alpha': 100.0}, {'alpha': 100.0}, {'alpha': 100.0}]",r2
continuous,RandomForest,original_no_kategorial,ok,0.021716449658875914,0.05141248128987293,0.2951323409507404,0.2734158912918645,6.121887254714966,"[{'max_depth': 4, 'min_samples_leaf': 3}, {'max_depth': 4, 'min_samples_leaf': 10}, {'max_depth': 4, 'min_samples_leaf': 1}, {'max_depth': 4, 'min_samples_leaf': 10}, {'max_depth': 4, 'min_samples_leaf': 5}]",r2
