,schneckendrehzahl,massetemperatur,duesenspalt,vakuumniveau,innenluftdruck,kuehlwassertemperatur
material_mfr,0.02330375685665667,0.23117252291412663,0.011127550369402361,0.15821820308462645,0.10316397766194683,0.15371749834535742
dn_ziel,0.5816263957793268,0.2590811053287714,0.010527693202827508,0.15400263318465535,0.2926011789866356,0.15302749027613172
wandstaerke_soll,0.07434948026448679,0.22355505640163745,0.9542922765325232,0.3752199048689827,0.2539669425436403,0.13692032057121925
dickentoleranz,0.024927147054448498,0.07660146339161786,0.008903534452228499,0.09925792583570715,0.0757448093501792,0.12438384804449934
produktionsgeschwindigkeit_soll,0.2672344790072027,0.11950703797568986,0.0074652397926579335,0.09989998847279477,0.1920939966727476,0.301695823218377
ovalitaet_anforderung,0.02576169968854143,0.08145570523537314,0.0066446829567769925,0.10205802758757156,0.07428333093732248,0.11643665166582691
wandtyp_einwandig,0.0027970413493370572,0.00862710875278381,0.0010390226935835082,0.011343316965662075,0.008145763847527993,0.01381836787858841
