modell,count,mean,std,min,25%,50%,75%,max
GaussianNB,4.0,0.3864741547962114,0.06334381032905227,0.29175769158377857,0.38126347172554215,0.41566710765338516,0.4208777907240544,0.4228047122942967
HistGradientBoosting,4.0,0.35695449598598633,0.023061573738554816,0.33597166756313596,0.33849375332051584,0.3542654536590107,0.3727261963244812,0.383315409062788
LightGBM,4.0,0.3759340423801575,0.014928335989923006,0.36151177806532686,0.3654798289840841,0.3737249330075715,0.3841791464036449,0.3947745254401601
LogisticRegression,4.0,0.37906275293676245,0.0032071099636851743,0.3747070779214312,0.3778671819237823,0.37964853631333506,0.3808441073263152,0.3822468611989486
MLP,4.0,0.1298421112401792,0.14062208412088129,0.0,0.019999999999999997,0.11234533766503077,0.22218744890520997,0.29467776963065523
RandomForest,4.0,0.36301621509454157,0.007458504269385792,0.3524321673749591,0.3608775055671508,0.3650152732579073,0.367153982785298,0.3696021464873924
SVC,4.0,0.3987878458962064,0.0077345095056410825,0.3918577075098814,0.39437219081464603,0.39681003776688195,0.4012256928484423,0.4096736005411804
XGBoost,4.0,0.35648378621990373,0.01575229005394288,0.3341633978871963,0.351658781863773,0.3608132562923987,0.36563826064852945,0.3701452344076211
kNN,4.0,0.18167407870326394,0.014700170085987587,0.16463749463749464,0.1717789836046651,0.18390033462751126,0.19379542972611008,0.1942581509205386
