modell,count,mean,std,min,25%,50%,75%,max
GaussianNB,4.0,0.4119101240264514,0.0009898170918891359,0.410825729035374,0.4114328543052228,0.4118034886124361,0.4122807583336647,0.41320778984555934
HistGradientBoosting,4.0,0.37515131686949665,0.02597018057009756,0.3468165444263732,0.35706449454953176,0.3753948271096057,0.3934816494295706,0.40299906883240216
LightGBM,4.0,0.3463573910909063,0.011993522667907127,0.3300911136798323,0.3417263682573507,0.34859437735347243,0.35322540018702797,0.3581496959768482
LogisticRegression,4.0,0.4233705794118685,0.0018951049295573082,0.42147588974787425,0.4218801662292912,0.4234157193894962,0.42490613257207344,0.42517498912060725
MLP,4.0,0.0733436343498263,0.0840338295260484,0.0,0.019999999999999997,0.051671826625386996,0.1050154609752133,0.1900308841485312
RandomForest,4.0,0.33932485540598717,0.022767004293905317,0.30696132663464787,0.33162134288909784,0.34737609795399316,0.3550796104708825,0.35558589908131444
SVC,4.0,0.4066325006431756,0.013269001021658268,0.39485552375217564,0.39900832333774944,0.4031657186700284,0.41078989597545457,0.42534304148046986
XGBoost,4.0,0.03552969208211143,0.019404311794861434,0.012903225806451613,0.0226008064516129,0.03837121212121212,0.05130009775171065,0.05247311827956989
kNN,4.0,0.022391862170087977,0.01914801957343192,0.0,0.00967741935483871,0.025415444770283478,0.03812988758553275,0.038736559139784944
