modell,struktur,status,mae_mean,mae_std,mae_gap,rmse_mean,rmse_std,rmse_gap,r2_mean,r2_std,r2_gap,median_ae_mean,median_ae_std,median_ae_gap,rmse_normiert_mean,rmse_normiert_std,rmse_normiert_gap,mae_normiert_mean,mae_normiert_std,mae_normiert_gap,fit_zeit_sekunden_mean,predict_zeit_sekunden_mean,best_params_je_fold
Ridge,multioutput,ok,4.702158329088575,0.0648043382485355,-0.020307569315032303,5.905772057610671,0.09095220642728293,-0.025769414574291716,0.5674613502459096,0.015722856026493898,0.0062299805051464485,3.9480213160765096,0.10574949277353243,-0.007380823155697325,0.6153906092277094,0.0020692624182240284,-0.002599678345694856,0.49017411580581277,0.0015802716633174384,-0.00219491826448337,1.34000883102417,0.0,"[{'alpha': 10.0}, {'alpha': 1.0}, {'alpha': 1.0}, {'alpha': 1.0}, {'alpha': 1.0}]"
kNN,multioutput,ok,5.033255854498324,0.07302930443999281,-0.23014900802995175,6.320889264511564,0.08863404323305829,-0.2905731142816226,0.49183109661509994,0.012257238896929288,0.04730918230143544,4.290555194718131,0.11604429622910031,-0.1964824838108825,0.6840436176589172,0.008444647378290312,-0.03091060089318909,0.5440008143962031,0.008349692892113179,-0.02463653334140037,0.09243650436401367,0.028205394744873047,"[{'n_neighbors': 15}, {'n_neighbors': 25}, {'n_neighbors': 25}, {'n_neighbors': 25}, {'n_neighbors': 25}]"
RandomForest,einzeln,ok,4.8068041684832234,0.0835826890991627,-0.6484949092268293,6.0358552517815,0.11125874704334458,-0.789897969316665,0.5463651263126155,0.01384382526420457,0.10736470869323267,4.059541613909604,0.10922381846761105,-0.5775320874840544,0.6318657148794461,0.003300886373316902,-0.08356588577803203,0.5027850924156496,0.0031351213955853182,-0.06828457983655561,35.971162176132204,0.2195688247680664,"[[{'max_depth': 6, 'min_samples_leaf': 3}, {'max_depth': 12, 'min_samples_leaf': 10}, {'max_depth': 6, 'min_samples_leaf': 5}, {'max_depth': 4, 'min_samples_leaf': 10}, {'max_depth': 6, 'min_samples_leaf': 3}, {'max_depth': 6, 'min_samples_leaf': 10}], [{'max_depth': 6, 'min_samples_leaf': 3}, {'max_depth': 6, 'min_samples_leaf': 10}, {'max_depth': 6, 'min_samples_leaf': 10}, {'max_depth': 4, 'min_samples_leaf': 10}, {'max_depth': 6, 'min_samples_leaf': 3}, {'max_depth': 6, 'min_samples_leaf': 10}], [{'max_depth': 6, 'min_samples_leaf': 3}, {'max_depth': 6, 'min_samples_leaf': 10}, {'max_depth': 6, 'min_samples_leaf': 10}, {'max_depth': 4, 'min_samples_leaf': 10}, {'max_depth': 6, 'min_samples_leaf': 5}, {'max_depth': 4, 'min_samples_leaf': 5}], [{'max_depth': 6, 'min_samples_leaf': 3}, {'max_depth': 8, 'min_samples_leaf': 10}, {'max_depth': 6, 'min_samples_leaf': 5}, {'max_depth': 6, 'min_samples_leaf': 10}, {'max_depth': 6, 'min_samples_leaf': 3}, {'max_depth': 4, 'min_samples_leaf': 3}], [{'max_depth': 6, 'min_samples_leaf': 3}, {'max_depth': 6, 'min_samples_leaf': 10}, {'max_depth': 6, 'min_samples_leaf': 10}, {'max_depth': 4, 'min_samples_leaf': 5}, {'max_depth': 6, 'min_samples_leaf': 3}, {'max_depth': 4, 'min_samples_leaf': 10}]]"
MLP,multioutput,ok,4.810462188446774,0.0919512606648377,-0.118626267813152,6.050783739559665,0.12065588257718826,-0.1570622286766259,0.5358665950501845,0.022366164496157446,0.024860148749,4.03932154205334,0.1367487672754366,-0.09329599001036115,0.6425023591494119,0.009559941533533555,-0.01489383066976635,0.5113285160247736,0.005691817267226534,-0.011231407347517486,17.23998303413391,0.0004016876220703125,"[{'alpha': 0.001, 'hidden_layer_sizes': (50, 50)}, {'alpha': 0.0001, 'hidden_layer_sizes': (50, 50)}, {'alpha': 0.001, 'hidden_layer_sizes': (50, 50)}, {'alpha': 0.01, 'hidden_layer_sizes': (100,)}, {'alpha': 0.0001, 'hidden_layer_sizes': (100,)}]"
SVR,einzeln,ok,4.71589576192088,0.07367399237189153,-0.09347443723259108,5.9321521654877944,0.10417950003583201,-0.07244183454021158,0.5631908070669478,0.016686913083065785,0.013647516416190664,3.961102324995546,0.13866641156884596,-0.09464829592473611,0.6187666605823824,0.0027980062937593645,-0.008369483495782482,0.4927155646362508,0.0009846751096201146,-0.010423597422974218,11.004847764968872,0.6594750881195068,"[[{'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}], [{'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 100.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}], [{'C': 100.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 100.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}], [{'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}], [{'C': 100.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}]]"
HistGradientBoosting,einzeln,ok,4.786481685260894,0.08360147171367567,-0.5284498323262516,6.014179657962631,0.11673491683348422,-0.6540198523880125,0.5503155203257581,0.015771645600477936,0.09331230827413262,3.998166565416615,0.0987804671248413,-0.43543711126768736,0.62889076525921,0.004151639223762872,-0.06930384731949801,0.5008652089277158,0.0025834566260099835,-0.056088773705427586,10.160803270339965,0.02827630043029785,"[[{'max_depth': 3, 'max_iter': 100}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}], [{'max_depth': 3, 'max_iter': 100}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}], [{'max_depth': 3, 'max_iter': 100}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}], [{'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}], [{'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}]]"
XGBoost,einzeln,ok,4.907009697127111,0.13631280185718705,-1.2547559511008952,6.164710587725903,0.16428569691867903,-1.521997452108864,0.5245693006800719,0.016659931544302398,0.2106060115371018,4.149674234168783,0.10915297816309551,-1.1326069634071456,0.6465630983829613,0.009221262176103844,-0.16310749754978576,0.5147523845407113,0.00803331099859537,-0.1336715115425225,13.740773010253907,0.018372631072998045,"[[{'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}], [{'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}], [{'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}], [{'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}], [{'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}]]"
LightGBM,einzeln,ok,4.787069392880903,0.09807950202951214,-0.5523522184424063,6.013751713808056,0.12801312124936423,-0.6848630027221843,0.5501971392861835,0.013696372364507112,0.09758086340894323,4.0138932362208966,0.10545876594027798,-0.4902822468499659,0.6290068971501656,0.005010607278082646,-0.07142120478967828,0.5007115287194238,0.003447112083484581,-0.05730840738213727,41.93089804649353,0.03434586524963379,"[[{'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}], [{'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}], [{'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}], [{'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}], [{'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}]]"
