modell,hyperparameter_vor_tuning,best_params_je_fold_nach_tuning,r2_vor,r2_nach,r2_std_nach,gap_vor,gap_nach,mae_vor,mae_nach,rmse_vor,rmse_nach,median_ae_vor,median_ae_nach,fit_zeit_vor,fit_zeit_nach,predict_zeit_vor,predict_zeit_nach
Ridge,"{'alpha': 1.0, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': 42, 'solver': 'auto', 'tol': 0.0001}","[{'alpha': 10.0}, {'alpha': 1.0}, {'alpha': 1.0}, {'alpha': 1.0}, {'alpha': 1.0}]",0.5674,0.5675,0.0157,0.0063,0.0062,4.7026,4.7022,5.9065,5.9058,3.9491,3.948,0.0032,1.34,0.0004,0.0
SVR,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}","[[{'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}], [{'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 100.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}], [{'C': 100.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 100.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}], [{'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}], [{'C': 100.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}, {'C': 10.0, 'gamma': 0.01}]]",0.5261,0.5632,0.0167,0.0396,0.0136,4.947,4.7159,6.2108,5.9322,4.2133,3.9611,0.2476,11.0048,0.58783,0.65948
HistGradientBoosting,"{'categorical_features': 'from_dtype', 'early_stopping': 'auto', 'interaction_cst': None, 'l2_regularization': 1.0, 'learning_rate': 0.1, 'loss': 'squared_error', 'max_bins': 255, 'max_depth': 3, 'max_features': 1.0, 'max_iter': 50, 'max_leaf_nodes': 15, 'min_samples_leaf': 20, 'monotonic_cst': None, 'n_iter_no_change': 10, 'quantile': None, 'random_state': 42, 'scoring': 'loss', 'tol': 1e-07, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}","[[{'max_depth': 3, 'max_iter': 100}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}], [{'max_depth': 3, 'max_iter': 100}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}], [{'max_depth': 3, 'max_iter': 100}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}], [{'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}], [{'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}, {'max_depth': 3, 'max_iter': 50}]]",0.549,0.5503,0.0158,0.0919,0.0933,4.7962,4.7865,6.0246,6.0142,3.9662,3.9982,0.4149,10.1608,0.02467,0.02828
LightGBM,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.8, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 3, 'min_child_samples': 30, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 50, 'n_jobs': None, 'num_leaves': 7, 'objective': None, 'random_state': 42, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 0.8, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}","[[{'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}], [{'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}], [{'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}], [{'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}], [{'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}, {'n_estimators': 50, 'num_leaves': 7}]]",0.5493,0.5502,0.0137,0.0835,0.0976,4.8002,4.7871,6.0261,6.0138,4.0133,4.0139,0.0918,41.9309,0.02473,0.03435
RandomForest,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 6, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 200, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}","[[{'max_depth': 6, 'min_samples_leaf': 3}, {'max_depth': 12, 'min_samples_leaf': 10}, {'max_depth': 6, 'min_samples_leaf': 5}, {'max_depth': 4, 'min_samples_leaf': 10}, {'max_depth': 6, 'min_samples_leaf': 3}, {'max_depth': 6, 'min_samples_leaf': 10}], [{'max_depth': 6, 'min_samples_leaf': 3}, {'max_depth': 6, 'min_samples_leaf': 10}, {'max_depth': 6, 'min_samples_leaf': 10}, {'max_depth': 4, 'min_samples_leaf': 10}, {'max_depth': 6, 'min_samples_leaf': 3}, {'max_depth': 6, 'min_samples_leaf': 10}], [{'max_depth': 6, 'min_samples_leaf': 3}, {'max_depth': 6, 'min_samples_leaf': 10}, {'max_depth': 6, 'min_samples_leaf': 10}, {'max_depth': 4, 'min_samples_leaf': 10}, {'max_depth': 6, 'min_samples_leaf': 5}, {'max_depth': 4, 'min_samples_leaf': 5}], [{'max_depth': 6, 'min_samples_leaf': 3}, {'max_depth': 8, 'min_samples_leaf': 10}, {'max_depth': 6, 'min_samples_leaf': 5}, {'max_depth': 6, 'min_samples_leaf': 10}, {'max_depth': 6, 'min_samples_leaf': 3}, {'max_depth': 4, 'min_samples_leaf': 3}], [{'max_depth': 6, 'min_samples_leaf': 3}, {'max_depth': 6, 'min_samples_leaf': 10}, {'max_depth': 6, 'min_samples_leaf': 10}, {'max_depth': 4, 'min_samples_leaf': 5}, {'max_depth': 6, 'min_samples_leaf': 3}, {'max_depth': 4, 'min_samples_leaf': 10}]]",0.5443,0.5464,0.0138,0.139,0.1074,4.8282,4.8068,6.0535,6.0359,4.0688,4.0595,3.0385,35.9712,0.27304,0.21957
MLP,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 'auto', 'beta_1': 0.9, 'beta_2': 0.999, 'early_stopping': True, 'epsilon': 1e-08, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'learning_rate_init': 0.005, 'loss': 'squared_error', 'max_fun': 15000, 'max_iter': 2000, 'momentum': 0.9, 'n_iter_no_change': 20, 'nesterovs_momentum': True, 'power_t': 0.5, 'random_state': 42, 'shuffle': True, 'solver': 'adam', 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': False, 'warm_start': False}","[{'alpha': 0.001, 'hidden_layer_sizes': (50, 50)}, {'alpha': 0.0001, 'hidden_layer_sizes': (50, 50)}, {'alpha': 0.001, 'hidden_layer_sizes': (50, 50)}, {'alpha': 0.01, 'hidden_layer_sizes': (100,)}, {'alpha': 0.0001, 'hidden_layer_sizes': (100,)}]",0.5276,0.5359,0.0224,0.0284,0.0249,4.8373,4.8105,6.0877,6.0508,4.0707,4.0393,1.4951,17.24,0.00045,0.0004
XGBoost,"{'objective': 'reg:squarederror', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'feature_weights': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.1, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 3, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 50, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': 2.0, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.8, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}","[[{'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}], [{'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}], [{'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}], [{'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}], [{'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}, {'max_depth': 3, 'n_estimators': 50}]]",0.5515,0.5246,0.0167,0.093,0.2106,4.7759,4.907,5.999,6.1647,4.0159,4.1497,0.1345,13.7408,0.0158,0.01837
kNN,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}","[{'n_neighbors': 15}, {'n_neighbors': 25}, {'n_neighbors': 25}, {'n_neighbors': 25}, {'n_neighbors': 25}]",0.4461,0.4918,0.0123,0.186,0.0473,5.308,5.0333,6.6716,6.3209,4.3691,4.2906,0.0027,0.0924,0.01518,0.02821
