modell,struktur,feature_set,status,schneckendrehzahl_mae_mean,schneckendrehzahl_mae_std,schneckendrehzahl_mae_gap,schneckendrehzahl_rmse_mean,schneckendrehzahl_rmse_std,schneckendrehzahl_rmse_gap,schneckendrehzahl_r2_mean,schneckendrehzahl_r2_std,schneckendrehzahl_r2_gap,schneckendrehzahl_median_ae_mean,schneckendrehzahl_median_ae_std,schneckendrehzahl_median_ae_gap,schneckendrehzahl_rmse_normiert_mean,schneckendrehzahl_rmse_normiert_std,schneckendrehzahl_rmse_normiert_gap,schneckendrehzahl_mae_normiert_mean,schneckendrehzahl_mae_normiert_std,schneckendrehzahl_mae_normiert_gap,massetemperatur_mae_mean,massetemperatur_mae_std,massetemperatur_mae_gap,massetemperatur_rmse_mean,massetemperatur_rmse_std,massetemperatur_rmse_gap,massetemperatur_r2_mean,massetemperatur_r2_std,massetemperatur_r2_gap,massetemperatur_median_ae_mean,massetemperatur_median_ae_std,massetemperatur_median_ae_gap,massetemperatur_rmse_normiert_mean,massetemperatur_rmse_normiert_std,massetemperatur_rmse_normiert_gap,massetemperatur_mae_normiert_mean,massetemperatur_mae_normiert_std,massetemperatur_mae_normiert_gap,duesenspalt_mae_mean,duesenspalt_mae_std,duesenspalt_mae_gap,duesenspalt_rmse_mean,duesenspalt_rmse_std,duesenspalt_rmse_gap,duesenspalt_r2_mean,duesenspalt_r2_std,duesenspalt_r2_gap,duesenspalt_median_ae_mean,duesenspalt_median_ae_std,duesenspalt_median_ae_gap,duesenspalt_rmse_normiert_mean,duesenspalt_rmse_normiert_std,duesenspalt_rmse_normiert_gap,duesenspalt_mae_normiert_mean,duesenspalt_mae_normiert_std,duesenspalt_mae_normiert_gap,vakuumniveau_mae_mean,vakuumniveau_mae_std,vakuumniveau_mae_gap,vakuumniveau_rmse_mean,vakuumniveau_rmse_std,vakuumniveau_rmse_gap,vakuumniveau_r2_mean,vakuumniveau_r2_std,vakuumniveau_r2_gap,vakuumniveau_median_ae_mean,vakuumniveau_median_ae_std,vakuumniveau_median_ae_gap,vakuumniveau_rmse_normiert_mean,vakuumniveau_rmse_normiert_std,vakuumniveau_rmse_normiert_gap,vakuumniveau_mae_normiert_mean,vakuumniveau_mae_normiert_std,vakuumniveau_mae_normiert_gap,innenluftdruck_mae_mean,innenluftdruck_mae_std,innenluftdruck_mae_gap,innenluftdruck_rmse_mean,innenluftdruck_rmse_std,innenluftdruck_rmse_gap,innenluftdruck_r2_mean,innenluftdruck_r2_std,innenluftdruck_r2_gap,innenluftdruck_median_ae_mean,innenluftdruck_median_ae_std,innenluftdruck_median_ae_gap,innenluftdruck_rmse_normiert_mean,innenluftdruck_rmse_normiert_std,innenluftdruck_rmse_normiert_gap,innenluftdruck_mae_normiert_mean,innenluftdruck_mae_normiert_std,innenluftdruck_mae_normiert_gap,kuehlwassertemperatur_mae_mean,kuehlwassertemperatur_mae_std,kuehlwassertemperatur_mae_gap,kuehlwassertemperatur_rmse_mean,kuehlwassertemperatur_rmse_std,kuehlwassertemperatur_rmse_gap,kuehlwassertemperatur_r2_mean,kuehlwassertemperatur_r2_std,kuehlwassertemperatur_r2_gap,kuehlwassertemperatur_median_ae_mean,kuehlwassertemperatur_median_ae_std,kuehlwassertemperatur_median_ae_gap,kuehlwassertemperatur_rmse_normiert_mean,kuehlwassertemperatur_rmse_normiert_std,kuehlwassertemperatur_rmse_normiert_gap,kuehlwassertemperatur_mae_normiert_mean,kuehlwassertemperatur_mae_normiert_std,kuehlwassertemperatur_mae_normiert_gap,fit_zeit_sekunden_mean,predict_zeit_sekunden_mean,r2_durchschnitt_alle_y
Ridge,multioutput,original,ok,2.388283128061734,0.1638874353055803,-0.014007778285526573,2.9983886787968586,0.1687376937940328,-0.015740187895112445,0.8304008117084031,0.018386563834001463,0.0034763385578543415,1.9972822593010526,0.24334622664718114,-0.016614361282556445,0.4094533343291552,0.023042446711312295,-0.002149445287796259,0.32613866808599756,0.022380106126684673,-0.001912871258523352,3.358920584150809,0.11531046180177013,-0.009225248400592356,4.184953196070026,0.13071672807162807,-0.0086547446041223,0.4746876002270943,0.029346631768274498,0.0060011444427696126,2.8843412677759117,0.0922833351696779,-0.004054701919892434,0.7217098314551377,0.022542557434939412,-0.0014925410098717284,0.5792576153384799,0.01988569287468255,-0.0015909263870801382,0.11104677608862672,0.0034568660962643358,-0.0010953556871183129,0.1405508610846068,0.0037086022390030227,-0.0011463467192818766,0.9499308172729928,0.00588200902406542,0.0017986807158857365,0.0910167454135898,0.005711060693627945,-0.0005204405693653158,0.22127678589870822,0.005838652124154203,-0.0018047553434449026,0.17482691680211976,0.005442330364686481,-0.0017244774168655441,11.095576545735108,0.426179072272925,-0.05563066449798271,14.023392273825149,0.5290041605878966,-0.07588939852757193,0.36665981162218786,0.03438977399734398,0.010077023167654298,9.175362252357274,0.5722892118902885,-0.021087376072967956,0.7933840898214596,0.029928812962265617,-0.0042935004742240546,0.6277406869102139,0.024111405340013287,-0.003147347179418225,9.298820091917202,0.1941785764429196,-0.038044666370337765,11.622394484764822,0.19348833093373763,-0.04855394332881957,0.5168968485019854,0.03641289424443723,0.007505398559556342,7.87549234590495,0.34119871397142487,-0.01956097121846323,0.692148313800306,0.011522808158970527,-0.002891532381511519,0.5537725169619496,0.011563914341170317,-0.0022656735418715712,1.9629747595020581,0.06832902918420139,-0.008795485414167414,2.469267482379569,0.06988128477270752,-0.010271868038591148,0.26585747775691126,0.04662325661953981,0.009061979639700235,1.671331988541897,0.1290306223302864,-0.0043864322775044595,0.8546832743456731,0.02418788799156878,-0.0035553838826767326,0.6794410515997855,0.02365060845483457,-0.0030443661235095565,0.0034648418426513673,0.0010305404663085937,0.5674055611815959
Ridge,multioutput,nur_dn,ok,2.386562222443335,0.16421345036796295,-0.013466050590060785,2.998649548996502,0.16773685317019874,-0.013618645626658044,0.8303441746512977,0.018588289546692414,0.0032660256873217053,1.979247764836692,0.26302521475492313,-0.004197039303811323,0.40948895818733816,0.022905774126647474,-0.0018597321622491059,0.32590366501634815,0.022424626023413895,-0.0018388941211442966,3.3596008175952483,0.11834918231393074,-0.008152106681851734,4.186867814333721,0.1337045282495149,-0.007502945339482814,0.4742152826904064,0.029674621912133582,0.0057111959393306155,2.885955073630117,0.07945308493158748,-0.0002500319729219491,0.722040014078372,0.023057814036812344,-0.0012939091938852787,0.5793749239776774,0.020409730866488555,-0.0014058593402881403,0.1693947860783437,0.006526154918419347,-0.0010451570706681013,0.21215797241473489,0.006832227529016124,-0.0010722157197119164,0.8862984589093881,0.010409610573498347,0.003053011983302212,0.14104708417132691,0.007218804899349265,-0.0011501989077884744,0.33401171559140913,0.010756343550533657,-0.0016880469206453919,0.2666873295699809,0.010274476965001226,-0.00164544703299635,11.219862708181065,0.36385632772397675,-0.049738099924054424,14.14971530672474,0.4815382632504655,-0.06838209269412943,0.35487447725606575,0.03728419715876438,0.009823841054175164,9.235168128757199,0.5172210340355213,0.1014590753549669,0.8005309115407375,0.027243393698418383,-0.003868768933568467,0.6347722711335003,0.020585448638977807,-0.002813970854352421,9.374036544050657,0.24306191531201712,-0.03394923230758451,11.726399706993114,0.2138475991676713,-0.045008840667808414,0.5079679034445235,0.04032131683666603,0.007540133200162891,8.093714804026153,0.2964668651239393,-0.07745798329982634,0.6983421355025465,0.012735263406191527,-0.0026804109269537024,0.558251881397777,0.014475063211183869,-0.0020217782082093683,1.962894992769132,0.06785695276649521,-0.007656019823869764,2.468586506575914,0.0679736759100188,-0.008322935550971966,0.26631028894536596,0.04538279291003425,0.007865258054784219,1.6722538049176159,0.1303720101548887,0.006191239089089251,0.8544475693709097,0.023527610641881896,-0.0028808032583076404,0.6794134420787563,0.02348720946249955,-0.0026499648734752412,0.0031384944915771483,0.0,0.553335097649508
Ridge,multioutput,nur_wandstaerke,ok,2.927093418313698,0.1718535303808878,-0.016736488324854637,3.6364335729165376,0.1947001204900238,-0.016276184726214726,0.7510929288079695,0.019857948391015415,0.004221214349111602,2.583817614791557,0.20752749067480608,-0.011973877460637716,0.4965833355849713,0.026587818348126055,-0.0022226398309975193,0.39971741105372116,0.023467938472515354,-0.002285497873585285,3.4424076768015555,0.10672328178429058,-0.010426826834750713,4.297938333849351,0.11966071213056038,-0.00908195493798214,0.4458845265991286,0.029691420467650713,0.006430067879845902,2.9394368382447738,0.1301448354955688,0.018502187651557644,0.7411945140604835,0.02063590877543077,-0.001566214927738896,0.5936552567797825,0.018404803614341467,-0.0017981427951418993,0.11275156161870059,0.0038066459664483354,-0.0010053524188585738,0.14291504231440552,0.004281699952083217,-0.0010624107176099018,0.9482288807229817,0.006259542282655679,0.001790571236398586,0.0952801939580562,0.0058881672273659764,-0.0017516315378944824,0.22499884366324235,0.0067409107014243025,-0.001672610378071926,0.17751085242393208,0.005993007641574823,-0.0015827804271266455,11.105104534444237,0.4588142292661736,-0.04132466753992148,14.032037634402736,0.5602834937547383,-0.05753378732841341,0.3659856031096316,0.03457750119917313,0.008344523809924398,9.126470168195032,0.6400531305231277,-0.015349750948628227,0.793873207675335,0.03169846504003837,-0.0032550178018433407,0.6282797401223194,0.025957764182559333,-0.002337974514521335,9.335437760438872,0.17247464316199282,-0.03435102754568575,11.644489771918273,0.18369524060775677,-0.03948730219139307,0.5152404241901608,0.03391685354221052,0.006608659057509625,7.946101511856128,0.38824329404397595,-0.11822994240055174,0.6934641541605899,0.010939600372923767,-0.0023515868149308616,0.5559532085187364,0.010271380273175994,-0.002045706315012774,1.9704849841979812,0.0667080598948402,-0.008327112615705845,2.4777046682177657,0.07540090053950402,-0.00979494709947204,0.26067522522623376,0.050493635369417776,0.008967848291500102,1.6628884823710028,0.09254430182817619,0.010230008249981104,0.8576036228578982,0.02609838303123516,-0.003390308064540881,0.6820405526582928,0.02308954516390672,-0.002882249058485331,0.0034772872924804686,0.0,0.5478512647760178
Ridge,multioutput,residualisiert,ok,2.3879863316883214,0.16383925259902157,-0.01411308058307048,2.998372699969994,0.16836821979121466,-0.015767641080818517,0.830399703674483,0.018392164129972213,0.003482277082576757,1.9911793673354807,0.2594003148674834,-0.01189860689603206,0.40945115229585677,0.022991992157681006,-0.002153194234190192,0.32609813822888806,0.02237352640271593,-0.0019272511076559584,3.3589080301428824,0.11546797382401497,-0.009237985681176397,4.184955004331884,0.13087844385160533,-0.008661770529729829,0.4746874706500706,0.029365661068666553,0.006002571447654648,2.8845387145013435,0.0931428944807744,-0.0063165805864286995,0.7217101432962261,0.022570445887412582,-0.0014937526553424618,0.5792554503558576,0.019912856374416078,-0.001593122975714012,0.11104184072889818,0.0034590861417192835,-0.0010970053095677307,0.14055201610311618,0.003730051605635645,-0.001151327973459404,0.9499299088780893,0.005888643875597345,0.001802233904602546,0.09122010782252206,0.005910333545946793,-0.000661405265778181,0.22127860430651758,0.005872421016577939,-0.001812597600017618,0.17481914679964836,0.00544582550174241,-0.0017270745062802628,11.095916040862988,0.42672871417673336,-0.055815992347703514,14.023595067379034,0.5294568503138395,-0.07609395372251093,0.36664513825900913,0.03435258364427944,0.01009185607137647,9.170810314860647,0.5713439083304591,-0.020982577931377477,0.7933955630210983,0.029954424228011856,-0.004305073340045817,0.6277598941054325,0.02414250174900376,-0.00315783224355215,9.299019196199804,0.19371087132442225,-0.03811797087882063,11.622503107933095,0.1931947809402988,-0.048663699771505975,0.516890612934225,0.03637195074681873,0.007511728749883484,7.873169820187831,0.3387318746938932,-0.017969551908038284,0.6921547826344916,0.011505326379872316,-0.002898068705574186,0.5537843742168083,0.011536061104081504,-0.002270039044350969,1.9629819644175839,0.06834102668425628,-0.008800459257506388,2.46928751925302,0.06981874583719781,-0.010292076941990747,0.26584765487661727,0.04657677819696165,0.00907190540794195,1.670980614686325,0.12961712291216806,-0.0037829203245642873,0.8546902096739561,0.024166241498203064,-0.003562378755387785,0.6794435454247101,0.023654761128736455,-0.003046087711284673,0.0010384559631347657,0.0,0.5674000815454157
Ridge,einzeln,original,ok,2.388283128061733,0.16388743530558025,-0.014007778285525685,2.9983886787968586,0.16873769379403294,-0.015740187895112445,0.8304008117084031,0.018386563834001474,0.0034763385578543415,1.9972822593010549,0.24334622664717884,-0.016614361282558665,0.4094533343291551,0.023042446711312326,-0.002149445287796148,0.32613866808599756,0.022380106126684684,-0.0019128712585232965,3.358920584150808,0.11531046180177011,-0.009225248400591024,4.184953196070026,0.13071672807162815,-0.0086547446041223,0.4746876002270944,0.029346631768274522,0.006001144442769557,2.884341267775915,0.09228333516967673,-0.0040547019198955425,0.7217098314551377,0.02254255743493943,-0.0014925410098719505,0.5792576153384797,0.019885692874682535,-0.0015909263870800272,0.1110467760886267,0.003456866096264345,-0.0010953556871182712,0.1405508610846068,0.0037086022390030323,-0.0011463467192818766,0.9499308172729928,0.00588200902406542,0.0017986807158857365,0.09101674541358955,0.005711060693627986,-0.0005204405693649689,0.22127678589870822,0.005838652124154223,-0.0018047553434449026,0.17482691680211976,0.005442330364686491,-0.0017244774168654886,11.095576545735108,0.4261790722729241,-0.05563066449798271,14.023392273825149,0.5290041605878949,-0.07588939852757193,0.366659811622188,0.03438977399734407,0.010077023167654131,9.175362252357276,0.5722892118902901,-0.02108737607297151,0.7933840898214595,0.029928812962265513,-0.0042935004742239435,0.6277406869102137,0.024111405340013253,-0.003147347179418003,9.298820091917204,0.1941785764429193,-0.03804466637033954,11.622394484764822,0.19348833093373644,-0.04855394332881957,0.5168968485019854,0.036412894244437166,0.007505398559556231,7.875492345904954,0.3411987139714236,-0.019560971218471224,0.692148313800306,0.01152280815897045,-0.002891532381511519,0.5537725169619497,0.011563914341170298,-0.0022656735418715712,1.9629747595020586,0.06832902918420158,-0.008795485414167858,2.469267482379569,0.06988128477270752,-0.010271868038591148,0.26585747775691126,0.04662325661953988,0.009061979639700124,1.671331988541897,0.12903062233028637,-0.0043864322775044595,0.8546832743456731,0.02418788799156878,-0.0035553838826767326,0.6794410515997856,0.023650608454834625,-0.0030443661235097785,0.01215672492980957,0.001857900619506836,0.5674055611815959
Ridge,einzeln,nur_dn,ok,2.386562222443335,0.16421345036796292,-0.013466050590060785,2.9986495489965015,0.16773685317019874,-0.013618645626657155,0.8303441746512977,0.0185882895466924,0.0032660256873217053,1.979247764836692,0.2630252147549237,-0.004197039303811323,0.4094889581873381,0.022905774126647474,-0.0018597321622490504,0.3259036650163482,0.022424626023413892,-0.0018388941211444076,3.3596008175952483,0.11834918231393102,-0.008152106681851734,4.186867814333721,0.1337045282495149,-0.007502945339482814,0.4742152826904064,0.029674621912133606,0.0057111959393306155,2.885955073630117,0.07945308493158748,-0.0002500319729219491,0.722040014078372,0.023057814036812344,-0.0012939091938852787,0.5793749239776773,0.020409730866488594,-0.0014058593402880293,0.1693947860783437,0.006526154918419333,-0.0010451570706681013,0.21215797241473494,0.006832227529016135,-0.001072215719711972,0.8862984589093881,0.010409610573498347,0.003053011983302212,0.1410470841713269,0.0072188048993493585,-0.0011501989077885022,0.33401171559140913,0.010756343550533662,-0.0016880469206453919,0.2666873295699809,0.010274476965001198,-0.00164544703299635,11.219862708181065,0.36385632772397697,-0.04973809992405265,14.14971530672474,0.4815382632504655,-0.06838209269412943,0.35487447725606575,0.03728419715876436,0.009823841054175164,9.2351681287572,0.5172210340355196,0.10145907535496512,0.8005309115407375,0.02724339369841838,-0.003868768933568578,0.6347722711335003,0.02058544863897782,-0.00281397085435231,9.374036544050657,0.2430619153120178,-0.03394923230758451,11.726399706993112,0.21384759916767196,-0.04500884066780664,0.5079679034445235,0.04032131683666607,0.007540133200162891,8.09371480402615,0.2964668651239399,-0.07745798329982456,0.6983421355025465,0.012735263406191527,-0.0026804109269537024,0.558251881397777,0.014475063211183912,-0.0020217782082092572,1.962894992769132,0.06785695276649521,-0.007656019823869764,2.468586506575914,0.06797367591001865,-0.008322935550971966,0.266310288945366,0.045382792910034185,0.007865258054784219,1.6722538049176152,0.13037201015488853,0.006191239089089917,0.8544475693709096,0.02352761064188186,-0.0028808032583075294,0.6794134420787563,0.02348720946249955,-0.0026499648734752412,0.009964990615844726,0.004807090759277344,0.553335097649508
Ridge,einzeln,nur_wandstaerke,ok,2.927093418313697,0.17185353038088783,-0.01673648832485375,3.6364335729165376,0.19470012049002383,-0.016276184726214726,0.7510929288079694,0.01985794839101542,0.004221214349111713,2.583817614791556,0.2075274906748059,-0.01197387746063816,0.4965833355849713,0.026587818348126048,-0.0022226398309975193,0.39971741105372116,0.023467938472515357,-0.002285497873585285,3.4424076768015555,0.10672328178429079,-0.010426826834750713,4.297938333849352,0.11966071213056059,-0.009081954937983028,0.44588452659912853,0.029691420467650782,0.006430067879845847,2.939436838244771,0.13014483549556385,0.01850218765156031,0.7411945140604835,0.020635908775430794,-0.001566214927738896,0.5936552567797825,0.01840480361434149,-0.0017981427951418993,0.11275156161870059,0.0038066459664483354,-0.0010053524188585738,0.14291504231440552,0.004281699952083234,-0.0010624107176099296,0.9482288807229817,0.006259542282655679,0.001790571236398808,0.0952801939580562,0.0058881672273660215,-0.0017516315378944547,0.22499884366324235,0.006740910701424335,-0.001672610378071926,0.17751085242393208,0.005993007641574823,-0.0015827804271266732,11.105104534444237,0.45881422926617327,-0.04132466753992148,14.032037634402736,0.560283493754738,-0.05753378732841341,0.3659856031096315,0.03457750119917316,0.008344523809924453,9.126470168195034,0.6400531305231267,-0.015349750948628227,0.793873207675335,0.03169846504003836,-0.0032550178018433407,0.6282797401223194,0.025957764182559313,-0.002337974514521335,9.335437760438872,0.1724746431619935,-0.03435102754568575,11.644489771918273,0.18369524060775672,-0.039487302191394846,0.5152404241901608,0.03391685354221049,0.006608659057509736,7.946101511856126,0.38824329404398045,-0.11822994240055618,0.6934641541605899,0.010939600372923764,-0.0023515868149308616,0.5559532085187364,0.010271380273176037,-0.002045706315012774,1.9704849841979812,0.0667080598948402,-0.008327112615705845,2.4777046682177657,0.07540090053950389,-0.00979494709947204,0.26067522522623365,0.05049363536941774,0.008967848291500158,1.662888482371003,0.09254430182817558,0.010230008249980882,0.8576036228578982,0.026098383031235125,-0.003390308064540659,0.6820405526582928,0.02308954516390672,-0.002882249058485331,0.0056650638580322266,0.004750347137451172,0.5478512647760175
Ridge,einzeln,residualisiert,ok,2.3879863316883214,0.16383925259902185,-0.01411308058307048,2.998372699969994,0.1683682197912148,-0.01576764108081896,0.830399703674483,0.018392164129972213,0.003482277082576757,1.9911793673354836,0.2594003148674824,-0.011898606896036723,0.40945115229585677,0.022991992157681027,-0.0021531942341902477,0.32609813822888806,0.022373526402715966,-0.0019272511076559584,3.3589080301428824,0.11546797382401479,-0.009237985681176397,4.184955004331883,0.1308784438516051,-0.00866177052972894,0.47468747065007066,0.029365661068666598,0.006002571447654592,2.8845387145013404,0.09314289448077055,-0.006316580586425591,0.7217101432962262,0.022570445887412516,-0.0014937526553424618,0.5792554503558576,0.019912856374416053,-0.001593122975714012,0.11104184072889818,0.00345908614171928,-0.0010970053095677307,0.14055201610311618,0.00373005160563563,-0.001151327973459404,0.9499299088780893,0.0058886438755973375,0.001802233904602546,0.09122010782252214,0.005910333545946851,-0.0006614052657783059,0.22127860430651758,0.005872421016577919,-0.001812597600017618,0.17481914679964836,0.0054458255017424025,-0.0017270745062802628,11.095916040862992,0.42672871417673386,-0.055815992347707066,14.02359506737903,0.5294568503138396,-0.07609395372250738,0.3666451382590093,0.03435258364427948,0.010091856071376304,9.170810314860642,0.571343908330462,-0.020982577931370372,0.7933955630210983,0.029954424228011863,-0.004305073340045817,0.6277598941054325,0.02414250174900378,-0.00315783224355215,9.299019196199804,0.193710871324423,-0.03811797087882063,11.622503107933095,0.1931947809402988,-0.048663699771505975,0.516890612934225,0.03637195074681877,0.007511728749883484,7.873169820187831,0.3387318746938996,-0.017969551908038284,0.6921547826344916,0.011505326379872316,-0.002898068705574186,0.5537843742168083,0.011536061104081547,-0.002270039044350969,1.9629819644175839,0.06834102668425646,-0.008800459257505944,2.46928751925302,0.06981874583719781,-0.010292076941990747,0.2658476548766172,0.04657677819696166,0.009071905407942005,1.670980614686325,0.12961712291216806,-0.0037829203245649534,0.8546902096739561,0.024166241498203064,-0.003562378755387785,0.67944354542471,0.0236547611287365,-0.003046087711284562,0.0026938915252685547,0.0038404941558837892,0.5674000815454158
RandomForest,multioutput,original,ok,2.8458099889616486,0.13960898113077624,-0.35214755950724985,3.5627884318812226,0.17208612775591534,-0.4441440388466411,0.7611545859759736,0.016271634352834262,0.057194604760711254,2.416410533175039,0.13243862793134403,-0.31805989983751015,0.4865265178123835,0.023499701456225458,-0.06065132880008994,0.3886175255021057,0.019064694057352824,-0.04808849280806893,3.5074073416558607,0.11931316955583086,-0.4400110876317207,4.37606436313171,0.11078983230474175,-0.5637787603019779,0.42595713815988495,0.020682939760525366,0.14133861224185978,2.9272084736250634,0.10625360682098967,-0.3401535993660363,0.7546676213531958,0.0191060944898224,-0.0972256211748368,0.6048646765674862,0.02057597384156652,-0.07588145267461865,0.13558824593436292,0.007628739544327855,-0.012965247584299885,0.1717128512531883,0.009124653030384537,-0.016840612552174894,0.9255166651977245,0.008087974649812577,0.014903946944914814,0.11254993860648735,0.00689067511542935,-0.011005855702021491,0.2703367843469572,0.014365432409474771,-0.02651308280400727,0.21346387374986567,0.012010335289309169,-0.02041188713961617,11.4240193154727,0.5037465567913731,-3.3548985898347183,14.47786414107009,0.620386762997073,-4.20589126873743,0.3246420732396169,0.04702481776686362,0.3372579369482477,9.416565979617483,0.6073600346429638,-2.818885055638228,0.8190961815680902,0.03509885323656115,-0.23795149925054948,0.6463225865560702,0.028499844806209772,-0.18980594082841562,9.611819834836814,0.2802338166388747,-2.4225172803347883,11.96404217912023,0.310403704822229,-2.9947351349966542,0.4877857411851137,0.043676338745702405,0.22654659646770708,8.320784324922368,0.27821415109096265,-2.1605322675861007,0.7124944546813297,0.01848546796201964,-0.1783454241450495,0.5724125867484057,0.016688760987305797,-0.14426814138289462,2.0262886219518252,0.049236490018246495,-0.22644508568117927,2.5645597917761824,0.052019886891943645,-0.291018304487781,0.20908275980709976,0.023738607909375018,0.1711167010825612,1.6813809216100786,0.08515989748823594,-0.16794688151445336,0.8876666362520845,0.018005553297552223,-0.1007296613870482,0.7013557690842965,0.01704214096138745,-0.07837904506925597,0.6182824611663819,0.05191049575805664,0.522356493927569
RandomForest,multioutput,nur_dn,ok,2.736598990724759,0.1626252140999667,-0.33356721982473303,3.440943201467251,0.20781223003395977,-0.41443629391525105,0.7768522285305083,0.022906756357246705,0.05207987308153117,2.3016028317544572,0.1542263302886,-0.28619456854510306,0.46988760231156723,0.028378379061891813,-0.05659450477871608,0.37370391283750165,0.02220773998717978,-0.04555120266627588,3.50529390608554,0.10827770214901225,-0.43973024155537166,4.368251412259007,0.1118131468936122,-0.5514141179576182,0.42804930291061716,0.019581783573482472,0.13821930701117058,2.9065703309250637,0.1430591960622568,-0.32940733287067303,0.753320250619683,0.019282568673608436,-0.09509329531018185,0.6045002072036041,0.0186728688487358,-0.07583301978542456,0.18089487143691768,0.007986515885156142,-0.017602826629411483,0.22659320758504414,0.009952253857068443,-0.022670713229076878,0.8700862561663566,0.01483678056983241,0.02661713120403275,0.15366608564850207,0.0043031461276354255,-0.01501330319628455,0.35673788331125855,0.015668368937380446,-0.03569172411075949,0.28479253295378815,0.012573601840350971,-0.027713077452749646,11.519450352779259,0.5190674029980057,-3.2575204353409184,14.581442146936103,0.6766408085224029,-4.052224810330554,0.3141776952989714,0.061087549881988036,0.33054927760828917,9.535967427634562,0.4542922917226226,-2.8121996497584254,0.8249561860737702,0.03828146867199991,-0.2292577024246003,0.6517216701155812,0.029366633339654113,-0.18429669763226247,9.777672390751622,0.2758677636218308,-2.443440136418203,12.166121686015604,0.3129291168134901,-3.0119805695087702,0.4704352064194094,0.044140263315872424,0.2319999025453826,8.430403519181164,0.3429841253205516,-2.132827538631485,0.7245288930351972,0.018635863790839036,-0.1793724412914699,0.5822896019423387,0.016428749486433823,-0.14551415997028694,2.0278085601365925,0.05434340485271873,-0.22728739943757348,2.559092059094119,0.05180095458060349,-0.28780478546019594,0.21233713719972255,0.026967871019415203,0.1690703757533676,1.7010504908920765,0.09553177755543667,-0.18087643816594956,0.8857740994146216,0.017929774636045726,-0.09961737161517559,0.7018818626540819,0.01880978854257418,-0.0786705936699964,0.7330199718475342,0.08909878730773926,0.5119896377542642
