feature_set,count,mean,std,min,25%,50%,75%,max
combined,9.0,0.33347094903587887,0.08834694411538231,0.16463749463749464,0.35749057652263183,0.3636926182978814,0.38037652270210404,0.41109873177279666
original,9.0,0.31364752088194686,0.13789641630583876,0.0,0.33597166756313596,0.36680251262366986,0.3822468611989486,0.42023548353397366
original_no_kategorial,9.0,0.34503784027267,0.06793349023104076,0.1942581509205386,0.3341633978871963,0.3663379282179332,0.38064735339147315,0.4228047122942967
residual,9.0,0.3092790156998209,0.12428585395686668,0.026666666666666665,0.29175769158377857,0.3701452344076211,0.383315409062788,0.3947745254401601
