feature_set,modell,f1_mean_ALT,f1_std_ALT,f1_mean_NEU,f1_std_NEU,differenz
original,LogisticRegression,0.0262365591397849,0.0321402867823989,0.3822468611989486,0.041333424807995504,0.3560103020591637
original,kNN,0.1741594799270552,0.0260223518866406,0.17415947992705524,0.02602235188664066,5.551115123125783e-17
original,SVC,0.0,0.0,0.4096736005411804,0.06317211201267837,0.4096736005411804
original,RandomForest,0.1644488225912374,0.0257902938441836,0.3696021464873924,0.07478181698242592,0.20515332389615504
original,HistGradientBoosting,0.2094227328373669,0.0706867942484297,0.33597166756313596,0.056769708153128845,0.12654893472576906
original,XGBoost,0.1535808918161859,0.0909849306591893,0.36413593606216554,0.061560534652203465,0.21055504424597965
original,LightGBM,0.2161598443951385,0.0735682849581469,0.36680251262366986,0.046295158777913986,0.15064266822853137
original,GaussianNB,0.4202354835339736,0.0438868811243888,0.42023548353397366,0.04388688112438888,5.551115123125783e-17
original,MLP,0.0,0.0,0.0,0.0,0.0
original_no_kategorial,LogisticRegression,0.0129032258064516,0.0258064516129032,0.3747070779214312,0.037211718439747146,0.3618038521149796
original_no_kategorial,kNN,0.1942581509205386,0.0562488613823623,0.1942581509205386,0.056248861382362327,0.0
original_no_kategorial,SVC,0.0,0.0,0.3984097236175296,0.05246720741914041,0.3984097236175296
original_no_kategorial,RandomForest,0.1930252740779056,0.0715689709858116,0.3663379282179332,0.06697423508886971,0.1733126541400276
original_no_kategorial,HistGradientBoosting,0.2264675831628095,0.0744434573421958,0.3393344485729758,0.06646114280676746,0.1128668654101663
original_no_kategorial,XGBoost,0.1852363991898875,0.1066483587444894,0.3341633978871963,0.09192921518381662,0.1489269986973088
original_no_kategorial,LightGBM,0.1871009692062323,0.0786772260894609,0.38064735339147315,0.05333680656272201,0.19354638418524087
original_no_kategorial,GaussianNB,0.4228047122942967,0.0628051409856766,0.4228047122942967,0.06280514098567662,0.0
original_no_kategorial,MLP,0.2946777696306552,0.1362199110956379,0.29467776963065523,0.13621991109563794,5.551115123125783e-17
residual,LogisticRegression,0.0262365591397849,0.0321402867823989,0.37892054992456603,0.04072189990899394,0.35268399078478113
residual,kNN,0.1936411893279672,0.0247977036640285,0.19364118932796726,0.024797703664028548,5.551115123125783e-17
residual,SVC,0.0262365591397849,0.0321402867823989,0.3918577075098814,0.05733247564714162,0.3656211483700965
residual,RandomForest,0.1291029299093815,0.0759768232897393,0.3524321673749591,0.06048771776926141,0.2233292374655776
residual,HistGradientBoosting,0.2047034047034047,0.0818812637050503,0.383315409062788,0.029573025973844116,0.1786120043593833
residual,XGBoost,0.20524075597605,0.0495513669608584,0.3701452344076211,0.057619529411225154,0.1649044784315711
residual,LightGBM,0.1812238930659983,0.1206751591006893,0.3947745254401601,0.04286517018429553,0.21355063237416183
residual,GaussianNB,0.2917576915837785,0.0536212425050131,0.29175769158377857,0.053621242505013156,5.551115123125783e-17
residual,MLP,0.0266666666666666,0.032659863237109,0.026666666666666665,0.032659863237109045,6.591949208711867e-17
combined,LogisticRegression,0.0262365591397849,0.0321402867823989,0.38037652270210404,0.02827426221357395,0.35413996356231914
combined,kNN,0.1646374946374946,0.041111358894709,0.16463749463749464,0.041111358894709016,2.7755575615628914e-17
combined,SVC,0.0266666666666666,0.032659863237109,0.39521035191623427,0.07075774823892896,0.36854368524956765
combined,RandomForest,0.1989391023446751,0.0491268061633133,0.3636926182978814,0.05608029797660324,0.1647535159532063
combined,HistGradientBoosting,0.1975605475605475,0.076109427209972,0.3691964587450456,0.04981534149724649,0.17163591118449809
combined,XGBoost,0.1882687028197864,0.0501331348538321,0.35749057652263183,0.06699371328008227,0.16922187370284544
combined,LightGBM,0.1723525904100459,0.0473472082001221,0.36151177806532686,0.0419567181653146,0.18915918765528095
combined,GaussianNB,0.4110987317727966,0.0519364979266879,0.41109873177279666,0.05193649792668797,5.551115123125783e-17
combined,MLP,0.1980240086633948,0.1041221443878842,0.19802400866339487,0.10412214438788428,5.551115123125783e-17
