,schneckendrehzahl,massetemperatur,duesenspalt,kalibrierdruck,kuehlwassertemperatur
material_mfr,0.0,0.08189323513577218,0.0,0.0,0.025277166930802508
dn_ziel,0.3932441401135378,0.20435931777004335,1.0245664705270223,0.8787580951311833,0.041647856581509934
wandstaerke_soll,0.39438867336758765,0.18204735305706965,1.4070609979733089,0.6662390923036421,0.012575566907376157
dickentoleranz,0.0,0.0,0.0,0.0,0.0
produktionsgeschwindigkeit_soll,0.059984243313538244,0.022185562668214587,0.10150276304874684,0.09568144234115827,0.09133562147478447
ovalitaet_anforderung,0.005997464991338575,0.0,0.0,0.02583717357869375,0.0
