feature_set,count,mean,std,min,25%,50%,75%,max
combined,9.0,0.17597604489057694,0.11278851280055799,0.0262365591397849,0.1646374946374946,0.1882687028197864,0.1980240086633948,0.4110987317727966
original,9.0,0.15158264602674917,0.13324578832811879,0.0,0.0262365591397849,0.1644488225912374,0.2094227328373669,0.4202354835339736
original_no_kategorial,9.0,0.190719342698753,0.1294229234391272,0.0,0.1852363991898875,0.1930252740779056,0.2264675831628095,0.4228047122942967
residual,9.0,0.1427566277236463,0.09671421230451774,0.0262365591397849,0.0266666666666666,0.1812238930659983,0.2047034047034047,0.2917576915837785
